유형,직업,호불호
INTJ,채권 추심,
INTP,개발자,
ENFP,회계,불호
INFP,개발자,
ISTJ,회계,
ENTP,디자이너,
INFP,스타벅스 관리자,
ENTJ,마케팅,
ESTJ,영업,
ENTP,상품 기획 MD,
INFJ,디자이너,
INTJ,회계,
ESFJ,재무,
INFP,간호사,
INTP,데이터 사이언스,
ENTJ,트래픽 분석,
ISTJ,개발자,
ESFJ,영업,
ENTP,소프트웨어 개발,
ENTP,노가다,
ENTP,SCM,
INTJ,연구직,
INFP,영상 디자인,
INTJ,보안,
ISFJ,세무,
ISTJ,웹 디자이너,
ENFJ,항공 정비,
ESTJ,영업,
XNFJ,개발자,
ESFP,기획,
ENFJ,소프트웨어 연구,
ISFJ,SCM,
ENFJ,인사,
ENTJ,마케팅,
ESTJ,재경,
ISTP,영업직,
ENTJ,조종사,
ENFJ,공무원,
ENTJ,게임 기획,
INTP,개발자,
INTP,공무원,불호
ENTP,해외 영업,
ENFP,사업,호
ENFP,MD,
ISFJ,화폐 생산 관리,
ESFP,개발자,
INTP,연구,
ENTJ,개발자,
ENTP,디자이너,
ISFJ,인사,
ESTP,디자인,
ESTJ,"프로그래머
관리자",
INFP,마케팅,
ENFJ,인사,
ENTJ,마케팅,
ISTJ,백엔드 개발자,
ENTP,사업가,호
ISFJ,회계,호
ENFJ,회계,
ESTJ,공무원,호
ESFP,교사,
INTP,노예,
ISFP,노예,
ENFP,항공 정비,
ESTP,해외 부동산 투자,
INTJ,사무직,
ESTP,영업직,
ISTJ,교사,
INFJ,회계,
ENTP,회계,
ESTJ,교사,
ESTJ,엔지니어,
INFJ,그래픽 디자이너,
ENTP,디자이너,
ENFP,디자이너,
ISFP,IT 개발,
INFJ,데이터 분석,
ENTP,물류 오퍼레이션,
ENFP,은행 영업직,
ISTJ,SCM,
INTP,마케터,
INFP,사서,
ENFP,영업,
ESFP,디자이너,
INFP,해외 영업,불호
ENTP,재무,
INTJ,마케터,
ESFJ,홍보,
INFP,기획,불호
ESTP,영업 기획,
ENFP,재경,
ENTP,개발자,
ENFJ,온라인 MD,
ENTP,강사,
ESFP,개발자,
ENTP,마케팅,
ESTJ,원화가,
ENTP,연구,
